id,url,createdTime,likesCount,commentsCount,sharesCount,authorId,authorName,type
163576114113950_173172169821011,https://www.facebook.com/163576114113950/posts/173172169821011,2016-12-04T11:06:01+0000,46,0,1,1212065072152791,Lily Wu,video
163576114113950_173221096482785,https://www.facebook.com/163576114113950/posts/173221096482785,2016-12-04T12:27:05+0000,83,3,0,1084189651611555,Bryan Fuentes,photo
163576114113950_172832236521671,https://www.facebook.com/163576114113950/posts/172832236521671,2016-12-04T00:08:28+0000,190,8,0,1220135101349418,Timothy Jao,photo
163576114113950_173015916503303,https://www.facebook.com/163576114113950/posts/173015916503303,2016-12-04T06:01:02+0000,123,5,0,10207194550211899,Gina H Kim,photo
163576114113950_173141296490765,https://www.facebook.com/163576114113950/posts/173141296490765,2016-12-04T10:24:40+0000,33,1,1,10153342403085345,Wali Kamal,video
163576114113950_172109383260623,https://www.facebook.com/163576114113950/posts/172109383260623,2016-12-03T04:10:09+0000,49,7,0,859999117404833,Matthew Lin,photo
163576114113950_173002223171339,https://www.facebook.com/163576114113950/posts/173002223171339,2016-12-04T05:34:17+0000,238,16,0,858189360982027,Nickon Mir,photo
163576114113950_172979856506909,https://www.facebook.com/163576114113950/posts/172979856506909,2016-12-04T04:39:14+0000,434,17,0,10207294679619929,Bryson Hill,photo
163576114113950_172838109854417,https://www.facebook.com/163576114113950/posts/172838109854417,2016-12-04T00:18:41+0000,595,25,4,379593522390864,Simon Ding,photo
163576114113950_172708376534057,https://www.facebook.com/163576114113950/posts/172708376534057,2016-12-03T19:47:23+0000,160,7,1,1014103738682192,Thien Phan,photo
163576114113950_172335303238031,https://www.facebook.com/163576114113950/posts/172335303238031,2016-12-03T09:37:15+0000,311,24,2,10153342403085345,Wali Kamal,photo
163576114113950_172067053264856,https://www.facebook.com/163576114113950/posts/172067053264856,2016-12-03T02:46:31+0000,605,65,1,10207194550211899,Gina H Kim,photo
163576114113950_171896609948567,https://www.facebook.com/163576114113950/posts/171896609948567,2016-12-02T22:12:09+0000,127,15,3,896325610443754,Allen Bonilla,photo
163576114113950_172077656597129,https://www.facebook.com/163576114113950/posts/172077656597129,2016-12-03T03:02:24+0000,104,14,0,1075634429156097,Charlotte McGinn,photo
163576114113950_172920356512859,https://www.facebook.com/163576114113950/posts/172920356512859,2016-12-04T03:24:52+0000,269,20,0,1007897395951689,Eleanor Laserna,photo
163576114113950_172696223201939,https://www.facebook.com/163576114113950/posts/172696223201939,2016-12-03T19:30:05+0000,127,3,0,10208456314195862,Henna Dialani,photo
163576114113950_167674303704131,https://www.facebook.com/163576114113950/posts/167674303704131,2016-11-28T02:21:10+0000,630,25,1,996072947103061,Josiah Chung,photo
163576114113950_171803516624543,https://www.facebook.com/163576114113950/posts/171803516624543,2016-12-02T19:25:10+0000,131,8,0,1057737464246858,Edgar Solórzano,photo
163576114113950_172827566522138,https://www.facebook.com/163576114113950/posts/172827566522138,2016-12-04T00:01:15+0000,408,20,1,589840184501556,Swetha Akella,photo
163576114113950_170156140122614,https://www.facebook.com/163576114113950/posts/170156140122614,2016-12-01T02:17:15+0000,1111,56,4,10153911512419034,Steven Martinez,photo
163576114113950_172431236561771,https://www.facebook.com/163576114113950/posts/172431236561771,2016-12-03T11:58:28+0000,500,43,3,1258710120818576,Neema Sheshebor,photo
163576114113950_173060899832138,https://www.facebook.com/163576114113950/posts/173060899832138,2016-12-04T07:39:59+0000,21,4,0,669335439908428,Harvey Wang,photo
163576114113950_173031279835100,https://www.facebook.com/163576114113950/posts/173031279835100,2016-12-04T06:30:55+0000,291,13,1,767682006711743,Alex Sun,photo
163576114113950_171037150034513,https://www.facebook.com/163576114113950/posts/171037150034513,2016-12-01T23:30:59+0000,303,39,0,1681466815455378,River Sween,status
163576114113950_172078323263729,https://www.facebook.com/163576114113950/posts/172078323263729,2016-12-03T03:03:13+0000,271,7,0,1311672715542487,Patrick Xu,status
163576114113950_171941426610752,https://www.facebook.com/163576114113950/posts/171941426610752,2016-12-02T23:29:07+0000,28,10,0,104516706708637,Carlos Quan,photo
163576114113950_173026913168870,https://www.facebook.com/163576114113950/posts/173026913168870,2016-12-04T06:22:59+0000,198,7,0,1115787951773529,Chantel Akrawi,photo
163576114113950_172760736528821,https://www.facebook.com/163576114113950/posts/172760736528821,2016-12-03T22:01:03+0000,152,10,1,1040040342722646,Kiana Nguyen,photo
163576114113950_173081693163392,https://www.facebook.com/163576114113950/posts/173081693163392,2016-12-04T08:27:15+0000,18,2,0,1654981274527955,Kevin Sprague,photo
163576114113950_172215376583357,https://www.facebook.com/163576114113950/posts/172215376583357,2016-12-03T06:58:12+0000,142,11,0,1044027905640238,James Wilson,photo
163576114113950_172763366528558,https://www.facebook.com/163576114113950/posts/172763366528558,2016-12-03T22:09:10+0000,280,9,1,10153648745391168,Jimmy Chottianchai,photo
163576114113950_171995473272014,https://www.facebook.com/163576114113950/posts/171995473272014,2016-12-03T00:57:24+0000,542,274,0,1522170681418556,Katniss Bendita Everdīn,photo
163576114113950_170275580110670,https://www.facebook.com/163576114113950/posts/170275580110670,2016-12-01T05:53:40+0000,408,19,3,1056661481049253,William Sun,video
163576114113950_172031843268377,https://www.facebook.com/163576114113950/posts/172031843268377,2016-12-03T01:58:35+0000,132,8,0,1006940406028953,Austin Gwiazdowski,photo
163576114113950_172793756525519,https://www.facebook.com/163576114113950/posts/172793756525519,2016-12-03T23:15:27+0000,456,32,0,10209195136099588,Dmitri Brereton,photo
